dt,avg_temp_australia,avg_temp_austria,avg_temp_belgium,avg_temp_canada,avg_temp_denmark (europe),avg_temp_estonia,avg_temp_finland,avg_temp_germany,avg_temp_italy,avg_temp_netherlands (europe),avg_temp_new zealand,avg_temp_norway,avg_temp_portugal,avg_temp_slovenia,avg_temp_south africa,avg_temp_sweden,avg_temp_switzerland
1908-04-01,21.574,3.934,6.568999999999999,-7.8519999999999985,4.767,3.457,0.405,5.341,8.969,5.805,10.408,-2.099,11.53,7.197000000000001,14.763000000000002,0.8590000000000001,3.983
1908-05-01,17.363,13.122,14.064,2.86,10.349,8.475999999999999,4.9780000000000015,13.286,17.172,12.841,8.286,2.4850000000000003,17.624000000000002,16.695,13.788,5.787000000000001,12.319
1908-06-01,12.711,16.03,17.146,8.642000000000001,14.917,13.914,11.089,17.016000000000002,20.158,16.09,6.149,7.642,18.603,19.413,10.687,10.975,15.66
1908-07-01,13.216,15.705,17.496,13.623,17.101000000000006,16.496000000000002,14.332,17.426,21.16,16.858,4.199,10.668,21.721,19.399,10.685,14.367,15.691
1908-08-01,14.946,13.568,15.537,10.888,15.298,15.629,13.470999999999998,14.993,20.842,15.243,5.255,9.677,21.746,17.430999999999997,12.575,13.264,14.252
1908-09-01,17.585,10.188,13.947,6.374,12.785,10.178,7.1110000000000015,12.462,17.308999999999994,13.724,8.517000000000001,5.3420000000000005,19.903,13.615,16.005,7.897,11.437
1908-10-01,21.147,6.284000000000002,10.404000000000002,-2.353,9.253,5.13,2.923,8.193999999999999,13.806,10.273,9.372,1.938,16.538,9.407,17.295,4.412,7.537999999999999
1908-11-01,25.61,-1.457,4.475,-11.888,3.1870000000000003,-2.901,-6.871,1.4799999999999995,7.739,4.586,11.602,-5.942,12.675,1.0999999999999996,19.38000000000001,-5.144,1.1720000000000002
1908-12-01,27.174,-3.809,0.968,-21.281,1.275,-3.871,-6.114,-0.88,4.899,1.3749999999999998,12.308,-6.174,9.279,-1.134,22.095,-5.122999999999999,-1.612
1909-01-01,26.673,-6.061,0.3159999999999998,-27.956,0.3829999999999999,-4.089,-5.797999999999999,-2.079,2.967,0.795,13.327,-6.266000000000001,7.272,-3.051,22.22,-4.891000000000001,-3.678
1909-02-01,26.47,-5.674,0.4259999999999997,-24.686,-1.137,-9.515,-11.107,-2.582,2.414,0.3170000000000001,14.856,-8.152999999999999,7.891999999999999,-2.45,21.204,-8.575,-3.661000000000001
1909-03-01,25.219,-0.1639999999999999,3.651,-13.713,-0.1759999999999997,-3.142,-7.463999999999999,1.6699999999999997,6.654,2.817,14.063,-8.575,9.739,3.85,19.405,-6.365,0.3490000000000002
1909-04-01,20.593000000000004,6.72,9.515,-10.785,4.743,0.7370000000000001,-3.39,7.7810000000000015,11.706,8.174,10.297,-3.332,14.544,10.002,17.34,-1.105,7.46
1909-05-01,17.279999999999998,9.554,12.121,1.763,8.718,6.3260000000000005,2.9530000000000003,10.794,14.724,10.924,8.663,1.3530000000000002,16.730999999999998,13.137,13.5,3.995,10.170000000000002
1909-06-01,15.105,13.234000000000002,13.9,9.503,13.424,14.294,11.302,14.117,17.939,13.183000000000002,6.547000000000001,7.224,16.671999999999993,16.655,11.534,11.442,12.496
1909-07-01,13.078,14.108,15.307,12.699000000000002,14.823,15.555,14.832,15.232,20.171,14.800999999999998,5.662999999999999,9.963,21.976,18.17,11.161,13.578,14.117
1909-08-01,15.983,15.194,17.217,11.097,15.187,15.198,12.82,16.583000000000002,21.225,16.317999999999998,6.69,9.089,21.814,18.864,12.84,12.238,15.354
1909-09-01,18.78700000000001,11.630999999999998,13.434,5.765,12.599,12.407,8.955,12.968,17.825999999999997,13.28,8.274,5.412000000000001,18.07,15.182,15.775,8.267999999999999,11.468
1909-10-01,22.837,8.198,11.227,-2.26,10.685,8.988,5.197,10.158,14.609000000000002,11.209,9.851,1.5630000000000002,16.009,11.562,17.43,5.132000000000001,8.685
1909-11-01,24.823,-0.204,3.607,-13.335,2.9440000000000004,-2.1380000000000003,-7.212999999999999,1.889,8.318999999999999,4.407,12.169,-6.4670000000000005,11.172,3.256,20.169,-5.96,1.0060000000000002
1909-12-01,25.785,-1.128,3.125,-18.986,1.511,-2.105,-7.896,1.511,7.198,3.173,14.672,-8.554,9.837,3.2190000000000003,20.928,-6.74,0.384
1910-01-01,27.827,-2.72,2.77,-21.721,1.23,-3.715,-9.136,0.894,4.792,3.08,15.187,-8.988999999999999,7.731000000000001,0.3440000000000001,21.963,-7.557,-1.138
1910-02-01,27.435,-0.6080000000000001,4.021,-25.215,2.09,-1.6579999999999997,-4.206,2.269,6.082999999999998,4.007,15.899,-4.835000000000001,9.823,3.228,21.432,-3.167,0.1070000000000001
1910-03-01,24.41,2.077,5.765,-14.011,3.877,0.629,-3.402,3.915,7.77,5.314,14.075,-4.314,10.002,5.659,20.225,-1.7919999999999998,2.7140000000000004
1910-04-01,22.126,5.3660000000000005,8.193999999999999,-5.6160000000000005,6.41,5.8100000000000005,1.041,7.232,10.308,7.56,9.844,-1.941,12.309,8.572000000000001,17.104000000000006,1.775,5.414
1910-05-01,18.683,10.152,12.608,1.831,11.903,11.909,7.302,12.3,13.64,12.272,8.709,4.42,14.43,13.23,13.76,7.781000000000001,9.338
1910-06-01,15.229,14.711,16.601,9.467,16.375999999999998,15.512,11.809,16.605,18.759,16.303,6.371,8.270000000000001,18.598,17.796,10.144,12.344,14.398
1910-07-01,14.521,14.119000000000002,15.868,12.882,16.623,16.75,13.818,15.763,19.989,15.408,4.816,9.975,20.479,17.812,10.708,13.704,14.228000000000002
1910-08-01,16.735,14.549,16.583,10.536,16.387,14.082,11.322,16.239,20.998,16.333000000000002,6.624,9.516,21.066,18.56600000000001,12.314,12.634,14.948
1910-09-01,20.297,9.908,13.433,4.52,13.352,11.854,8.146,12.269,16.299,13.518,8.155999999999999,5.635,19.614,13.368,15.172,8.683,10.378
1910-10-01,21.148000000000003,7.213999999999999,10.837,-2.099,9.274,4.624,0.625,9.109,14.273,10.559,10.527,0.1719999999999999,15.347,10.534,16.845000000000002,2.679,8.167
1910-11-01,24.435,0.1259999999999999,3.694,-11.241,2.705,-1.306,-4.788,2.163,8.097000000000001,3.8,12.64,-6.122000000000001,11.374,3.674,18.51,-3.925,1.269
1910-12-01,25.983,0.1050000000000004,4.821000000000001,-20.274,2.75,-1.25,-6.968999999999999,2.267,7.4849999999999985,5.087,13.741,-6.9,9.345,4.061,21.327,-5.8900000000000015,0.8809999999999999
1911-01-01,27.381,-5.3100000000000005,0.0919999999999998,-28.736,1.548,-4.291,-8.391,-1.533,2.979,1.278,14.163,-7.026000000000002,6.058000000000002,-1.917,22.014,-6.252999999999999,-3.974
1911-02-01,26.389,-2.715,3.143,-21.656,1.897,-8.764,-12.468,1.001,3.928,3.2960000000000003,14.414,-7.427,9.686,-0.0730000000000001,22.381,-6.468,-0.826
1911-03-01,25.0,1.953,5.678999999999999,-15.384,2.899,-2.0980000000000003,-4.898,4.089,7.766,5.096,14.941,-5.67,9.792,5.242000000000001,19.71,-3.14,2.604
1911-04-01,21.297,5.42,7.729999999999999,-7.221,6.0710000000000015,3.012,-1.183,7.1930000000000005,9.984,7.058,12.749,-2.257,11.484000000000002,8.368,16.48,1.062,5.4110000000000005
1911-05-01,17.546999999999993,10.798,13.95,3.0780000000000003,12.898,11.29,7.287999999999999,13.177,14.278,13.522,8.541,4.9700000000000015,15.241,13.601,12.852,8.516,10.733
1911-06-01,13.630999999999998,13.544,15.384,9.501,14.563,13.491,10.946000000000002,15.044,18.667,14.77,6.079,7.564,17.718,16.82,9.978,11.199000000000002,13.448
